Band Value,VH Count
-27,2
-26.875,
-26.75,1
-26.625,2
-26.5,
-26.375,2
-26.25,2
-26.125,1
-26,2
-25.875,1
-25.75,2
-25.625,2
-25.5,1
-25.375,2
-25.25,3
-25.125,6
-25,10
-24.875,8
-24.75,5
-24.625,7
-24.5,8
-24.375,14
-24.25,9
-24.125,16
-24,13
-23.875,18
-23.75,18
-23.625,25
-23.5,19
-23.375,24
-23.25,17
-23.125,8
-23,20
-22.875,18
-22.75,23
-22.625,17
-22.5,17
-22.375,18
-22.25,17
-22.125,14
-22,19
-21.875,7
-21.75,13
-21.625,14
-21.5,13
-21.375,12
-21.25,12
-21.125,6
-21,4
-20.875,5
-20.75,3
-20.625,8
-20.5,4
-20.375,6
-20.25,3
-20.125,4
-20,1
-19.875,1
-19.75,6
-19.625,2
-19.5,2
-19.375,
-19.25,5
-19.125,2
-19,2
-18.875,3
-18.75,3
-18.625,5
-18.5,5
-18.375,3
-18.25,5
-18.125,8
-18,5
-17.875,10
-17.75,9
-17.625,6
-17.5,8
-17.375,7
-17.25,7
-17.125,13
-17,10
-16.875,11
-16.75,13
-16.625,14
-16.5,15
-16.375,15
-16.25,11
-16.125,20
-16,26
-15.875,19
-15.75,18
-15.625,20
-15.5,26
-15.375,24
-15.25,22
-15.125,23
-15,25
-14.875,16
-14.75,32
-14.625,26
-14.5,18
-14.375,28
-14.25,21
-14.125,20
-14,26
-13.875,27
-13.75,24
-13.625,31
-13.5,15
-13.375,20
-13.25,16
-13.125,19
-13,21
-12.875,21
-12.75,20
-12.625,12
-12.5,8
-12.375,17
-12.25,9
-12.125,16
-12,9
-11.875,7
-11.75,12
-11.625,3
-11.5,10
-11.375,4
-11.25,4
-11.125,6
-11,3
-10.875,3
-10.75,3
-10.625,2
-10.5,2
-10.375,2
-10.25,1
-10.125,
-10,1
-9.875,1
-9.75,1
-9.625,
-9.5,1
-9.375,2
-9.25,
-9.125,1
